id,species,observed_on,place,user,latitude,longitude,life_stage,alive_or_dead,url
200471617,Ipswich Sparrow,2024-02-25 12:28:00-05:00,"Ocean County, NJ, USA",hannahfloyd_naturalist,39.7600402125,-74.0987767281,,,https://www.inaturalist.org/observations/200471617
200465770,Ipswich Sparrow,2024-02-25 11:19:18-05:00,"Barnegat Inlet, Barnegat Light, NJ, US",bookedshark4101,39.762945,-74.1018138333,,,https://www.inaturalist.org/observations/200465770
200465687,Ipswich Sparrow,2024-02-25 11:34:12-05:00,"Long Beach Island, Barnegat Light, NJ, US",bookedshark4101,39.7614583333,-74.0994721667,,,https://www.inaturalist.org/observations/200465687
199057557,Ipswich Sparrow,2024-02-09 15:37:00-05:00,"Berkeley Township, NJ, USA",dougwechsler,39.7643080497,-74.1037590396,,,https://www.inaturalist.org/observations/199057557
199052129,Ipswich Sparrow,2024-02-11 12:01:00-05:00,"Ocean County, NJ, USA",danielmorton,39.7592379899,-74.096118934,,,https://www.inaturalist.org/observations/199052129
198783626,Ipswich Sparrow,2024-02-07 14:19:00-05:00,"Ocean County, NJ, USA",judygva,39.7582198712,-74.0944210589,,,https://www.inaturalist.org/observations/198783626
198619806,Ipswich Sparrow,2024-02-06 13:29:00-05:00,"Ocean County, NJ, USA",er-birds,39.7608250028,-74.0986544634,,,https://www.inaturalist.org/observations/198619806
198528372,Ipswich Sparrow,2024-01-28 01:11:00-05:00,"Ocean County, NJ, USA",tiluchi,39.762372115,-74.0949010685,,,https://www.inaturalist.org/observations/198528372
197817598,Ipswich Sparrow,2024-01-15 08:49:00-05:00,"Forked River Beach Bay Front Park, NJ, USA",fm5050,39.8230585654,-74.1624884998,,,https://www.inaturalist.org/observations/197817598
196834715,Ipswich Sparrow,2024-01-12 10:11:00-05:00,"Berkeley Township, NJ, USA",kevinemetcalf,39.7623411752,-74.1009369947,,,https://www.inaturalist.org/observations/196834715
196392128,Ipswich Sparrow,2024-01-03 11:43:15-05:00,"Ocean County, NJ, USA",alinamartin,39.760575,-74.0981,,,https://www.inaturalist.org/observations/196392128
196283117,Savannah Sparrow,2024-01-02 11:37:00-05:00,"Barnegat Lighthouse State Park, Barnegat Light, Ocean County, NJ, USA",naturejeanne,39.764120185,-74.1047757811,,,https://www.inaturalist.org/observations/196283117
196283112,Ipswich Sparrow,2024-01-02 11:17:00-05:00,"Barnegat Lighthouse State Park, Barnegat Light, Ocean County, NJ, USA",naturejeanne,39.7640411934,-74.1037128344,,,https://www.inaturalist.org/observations/196283112
195228233,Ipswich Sparrow,2023-12-25 20:41:55-05:00,"Seven Mile Beach, Stone Harbor, NJ, US",jackmcdonough,39.0308476509,-74.7764980864,,,https://www.inaturalist.org/observations/195228233
192265104,Ipswich Sparrow,2021-02-13 09:47:00-05:00,"Sandy Hook, Middletown Township, NJ, USA",pohoro,40.4239866667,-73.9840883333,,,https://www.inaturalist.org/observations/192265104
192231147,Ipswich Sparrow,2021-02-06 11:09:00-05:00,"Berkeley Township, NJ, USA",pohoro,39.7636216667,-74.102965,,,https://www.inaturalist.org/observations/192231147
153234901,Ipswich Sparrow,2023-04-02 10:04:00-04:00,"Berkeley Township, NJ, USA",danielmorton,39.761852097,-74.1002855313,,,https://www.inaturalist.org/observations/153234901
151131889,Ipswich Sparrow,2023-03-12 11:15:00-04:00,"Berkeley Township, NJ, USA",efalquet,39.7617902307,-74.100102553,,Alive,https://www.inaturalist.org/observations/151131889
150523140,Ipswich Sparrow,2023-03-05 09:38:00-05:00,"Barnegat Lighthouse State Park, Barnegat Light, Ocean County, NJ, USA",naturejeanne,39.7629018202,-74.1041917728,,Alive,https://www.inaturalist.org/observations/150523140
150523118,Ipswich Sparrow,2023-03-05 09:07:00-05:00,"Barnegat Lighthouse State Park, Barnegat Light, Ocean County, NJ, USA",naturejeanne,39.7632694977,-74.1043758237,,Alive,https://www.inaturalist.org/observations/150523118
150523117,Ipswich Sparrow,2023-03-05 08:55:00-05:00,"Barnegat Lighthouse State Park, Barnegat Light, Ocean County, NJ, USA",naturejeanne,39.7634378726,-74.1044106925,,Alive,https://www.inaturalist.org/observations/150523117
148111247,Ipswich Sparrow,2023-02-04 14:34:00-05:00,Barnegat Light,flicker_wings,39.757619927,-74.1062466055,,Alive,https://www.inaturalist.org/observations/148111247
147921584,Ipswich Sparrow,2023-02-02 19:45:32-05:00,"Shell Pile, Wildwood, NJ, US",urbanwoods,38.96118,-74.8648533333,,,https://www.inaturalist.org/observations/147921584
147388444,Ipswich Sparrow,2023-01-21 09:46:00-05:00,"Cape May, New Jersey, United States",tombaxter,38.942538,-74.86311,,,https://www.inaturalist.org/observations/147388444
145915281,Ipswich Sparrow,2022-12-30 14:17:00-05:00,"Barnegat Lighthouse State Park, Barnegat Light, Ocean County, NJ, USA",naturejeanne,39.7639429369,-74.1046257868,,,https://www.inaturalist.org/observations/145915281
145894816,Ipswich Sparrow,2023-01-02 11:32:00-05:00,"Long Beach, NJ, USA",jmole,39.5259702845,-74.2764393365,,,https://www.inaturalist.org/observations/145894816
145894815,Ipswich Sparrow,2023-01-02 11:31:00-05:00,"Long Beach, NJ, USA",jmole,39.5260011164,-74.2763541142,,,https://www.inaturalist.org/observations/145894815
145894814,Ipswich Sparrow,2023-01-02 11:17:00-05:00,"Long Beach, NJ, USA",jmole,39.5267363107,-74.2756768784,,,https://www.inaturalist.org/observations/145894814
145392551,Ipswich Sparrow,2022-12-29 14:09:00-05:00,"Berkeley Township, NJ, USA",kdstutzman,39.7636541247,-74.1042563171,,Alive,https://www.inaturalist.org/observations/145392551
142364454,Ipswich Sparrow,2022-03-01 10:18:00-05:00,"Berkeley Township, NJ, USA",bert_filemyr,39.7646366883,-74.1037262433,,,https://www.inaturalist.org/observations/142364454
113234499,Savannah Sparrow,2021-01-23 22:23:00-05:00,"Ocean County, NJ, USA",alinamartin,39.756885253,-74.0927141236,,,https://www.inaturalist.org/observations/113234499
109799467,Ipswich Sparrow,2022-03-19 13:54:00-04:00,"Ocean County, NJ, USA",josephthebirder,39.758988528,-74.095565436,,,https://www.inaturalist.org/observations/109799467
109798024,Ipswich Sparrow,2022-03-19 13:08:00-04:00,"Ocean County, NJ, USA",josephthebirder,39.7593772977,-74.096429319,,,https://www.inaturalist.org/observations/109798024
109271113,Ipswich Sparrow,2022-03-15 16:22:00-04:00,"Barnegat Light, NJ, USA",gavinnupp,39.7576202,-74.1062466,,,https://www.inaturalist.org/observations/109271113
107218429,Ipswich Sparrow,2022-02-20 08:50:00-05:00,"Berkeley Township, NJ, USA",tgdesantis,39.7643240843,-74.1040646285,,,https://www.inaturalist.org/observations/107218429
107146776,Ipswich Sparrow,2022-02-20 13:43:07-05:00,"Long Beach Island, Ocean Gate, NJ, US",cinnamon325,39.7616075655,-74.0997974284,,,https://www.inaturalist.org/observations/107146776
106053527,Savannah Sparrow,2022-02-02 14:06:00-05:00,"Bayshore, Union Beach, NJ, US",rangelillo,40.4575460846,-74.1801449255,,,https://www.inaturalist.org/observations/106053527
104930112,Ipswich Sparrow,2022-01-13 11:50:00-05:00,"Ocean, New Jersey, United States",mikehannisian,39.7621766667,-74.100755,,,https://www.inaturalist.org/observations/104930112
104430302,Ipswich Sparrow,2022-01-02 12:19:02-05:00,"Long Beach Island, West Creek, NJ, US",jstippick,39.5073861421,-74.2928442216,,,https://www.inaturalist.org/observations/104430302
91032478,Ipswich Sparrow,2021-02-17 18:21:00-05:00,"208 Broadway, Barnegat Light, NJ 08006, USA",bradynichols,39.7632135,-74.1063824,,,https://www.inaturalist.org/observations/91032478
91022669,Ipswich Sparrow,2020-03-08 15:21:00-04:00,"208 Broadway, Barnegat Light, NJ 08006, USA",bradynichols,39.7632135,-74.1063824,,,https://www.inaturalist.org/observations/91022669
90917211,Ipswich Sparrow,2021-01-30 16:35:00+00:00,"Ocean County, NJ, USA",jmarcinik,39.759857582,-74.0968511229,,,https://www.inaturalist.org/observations/90917211
72099187,Ipswich Sparrow,2021-03-26 13:25:12-04:00,"Barnegat Light, NJ 08006, USA",bmac922,39.7640954857,-74.1034829244,,,https://www.inaturalist.org/observations/72099187
71158984,Ipswich Sparrow,2021-03-13 09:22:42-05:00,"Barnegat Lighthouse State Park, Ocean Gate, NJ, US",jordanparham,39.7632178346,-74.1023833344,,,https://www.inaturalist.org/observations/71158984
70356689,Ipswich Sparrow,2021-02-26 14:05:00-05:00,"Ocean County, NJ, USA",cholzapfel,39.7584530556,-74.0970913889,,,https://www.inaturalist.org/observations/70356689
70248722,Ipswich Sparrow,2021-02-26 09:33:54-05:00,Barnegat Light,tb_wildlife_photography,39.757619927,-74.1062466055,,,https://www.inaturalist.org/observations/70248722
68873914,Ipswich Sparrow,2021-01-31 09:31:16-05:00,"Brigantine, NJ 08203, USA",bkfj,39.4400669623,-74.3312715366,,,https://www.inaturalist.org/observations/68873914
68743656,Ipswich Sparrow,2021-01-24 12:11:00-05:00,United States,naturejeanne,39.7931577228,-74.0424749471,,,https://www.inaturalist.org/observations/68743656
68743652,Ipswich Sparrow,2021-01-24 12:10:00-05:00,United States,naturejeanne,39.6191915438,-74.1365227431,,,https://www.inaturalist.org/observations/68743652
68743650,Ipswich Sparrow,2021-01-24 10:48:00-05:00,United States,naturejeanne,39.6253107028,-74.1445652253,,,https://www.inaturalist.org/observations/68743650
68743649,Ipswich Sparrow,2021-01-24 10:44:00-05:00,United States,naturejeanne,39.713876556,-74.0407043769,,,https://www.inaturalist.org/observations/68743649
68666391,Ipswich Sparrow,2021-01-26 07:49:00-05:00,"Ocean County, NJ, USA",stephen220,39.7643483333,-74.1041016667,,,https://www.inaturalist.org/observations/68666391
68666390,Ipswich Sparrow,2021-01-26 07:48:00-05:00,"Ocean, New Jersey, United States",stephen220,39.7643483333,-74.1041016667,,,https://www.inaturalist.org/observations/68666390
68470289,Ipswich Sparrow,2021-01-20 14:36:00-05:00,"Ocean, New Jersey, United States",stephen220,39.7629966667,-74.10193,,,https://www.inaturalist.org/observations/68470289
68469987,Ipswich Sparrow,2021-01-20 08:22:00-05:00,"Ocean, New Jersey, United States",stephen220,39.7631533333,-74.1022616667,,,https://www.inaturalist.org/observations/68469987
68469986,Ipswich Sparrow,2021-01-20 08:22:00-05:00,"Ocean County, NJ, USA",stephen220,39.7631533333,-74.1022616667,,,https://www.inaturalist.org/observations/68469986
68469985,Ipswich Sparrow,2021-01-20 08:22:00-05:00,"Ocean, New Jersey, United States",stephen220,39.7631533333,-74.1022616667,,,https://www.inaturalist.org/observations/68469985
67800191,Ipswich Sparrow,2021-01-08 14:51:00-05:00,"Barnegat Inlet, Ocean Gate, NJ, US",sharrow-sparrow,39.762570132,-74.1010740465,,,https://www.inaturalist.org/observations/67800191
67800174,Ipswich Sparrow,2021-01-08 15:05:00-05:00,"Barnegat Inlet, NJ, US",sharrow-sparrow,39.7596340138,-74.0964518583,,,https://www.inaturalist.org/observations/67800174
67800080,Ipswich Sparrow,2021-01-08 14:51:00-05:00,"Barnegat Inlet, Ocean Gate, NJ, US",sharrow-sparrow,39.7618308069,-74.0997506455,,,https://www.inaturalist.org/observations/67800080
67800056,Savannah Sparrow,2021-01-08 12:05:00-05:00,"Long Beach Island, West Creek, NJ, US",sharrow-sparrow,39.5250613274,-74.2754134498,,,https://www.inaturalist.org/observations/67800056
67600257,Ipswich Sparrow,2021-01-04 10:14:00-05:00,"Ocean County, NJ, USA",matt-ratcliffe,39.7608582028,-74.1004107711,,,https://www.inaturalist.org/observations/67600257
67207842,Ipswich Sparrow,2020-12-27 13:08:00-05:00,"Ocean, New Jersey, United States",mikehannisian,39.7624149994,-74.100974997,,,https://www.inaturalist.org/observations/67207842
66835291,Ipswich Sparrow,2020-12-19 11:54:00-05:00,"Ocean, New Jersey, United States",mikehannisian,39.76315835,-74.1021666667,,,https://www.inaturalist.org/observations/66835291
43626002,Ipswich Sparrow,2020-02-15 16:41:07-05:00,"Ocean Twp, NJ, USA",zacharymillen,39.7640637859,-74.10365358,,,https://www.inaturalist.org/observations/43626002
